Index,Restaurant,Cuisine,Review,Response,Rating
62,The Rusty Fork,American,"The Rusty Fork is a great American restaurant with a cozy and inviting atmosphere. The food is always delicious and the portions are generous. I particularly love their burgers, which are always cooked to perfection. The service is also excellent, with friendly and attentive staff. Highly recommend!",Positive,4
63,The Vegan Spot,Vegan,"The Vegan Spot is an amazing vegan restaurant with delicious food and great service. The menu has a great variety of options, from burgers to tacos to salads. I particularly love their buffalo cauliflower wings and their BBQ jackfruit sandwich. The staff is also very friendly and accommodating. Highly recommend!",Positive,5
64,Pho King,Vietnamese,"Pho King is hands down the best Vietnamese restaurant in town. The pho is always delicious and flavorful, with a great variety of meats to choose from. I particularly love the rare beef and brisket. The service is also excellent, with friendly and attentive staff. Highly recommend!",Positive,5
65,The Spice Room,Indian,The Spice Room is a hidden gem in the city. The food is always fresh and bursting with flavor. Highly recommend the biryani.,Positive,5
66,La Cantina,Mexican,La Cantina has the best margaritas in town. The food is always hot and fresh. Highly recommend the enchiladas.,Positive,4
67,The Greasy Spoon,American,The Greasy Spoon has a great breakfast menu. The pancakes are fluffy and the bacon is crispy. Highly recommend.,Positive,4
68,Mama's Italian Kitchen,Italian,Mama's Italian Kitchen has some of the best pasta dishes around. The sauces are homemade and full of flavor.,Positive,5
69,Sushi Samurai,Japanese,Sushi Samurai is my go-to spot for sushi. The fish is always fresh and the rolls are creative and delicious.,Positive,5
70,The French Quarter,French,The French Quarter is a lovely bistro with authentic French cuisine. The atmosphere is cozy and romantic.,Positive,5
71,The Greek Spot,Greek,The Greek Spot has some of the best gyro sandwiches around. The meat is always tender and the tzatziki sauce is delicious.,Positive,4
72,Curry House,Indian,Curry House is my favorite Indian restaurant. The curry dishes are full of flavor and the naan is always fresh and hot.,Positive,5
73,El Rancho,Mexican,El Rancho is a great spot for traditional Mexican food. The tacos are always fresh and the salsa is delicious.,Positive,4
74,The Red House,American,The Red House has great burgers and fries. The meat is always juicy and the toppings are fresh.,Positive,4
75,Tokyo Nights,Japanese,Tokyo Nights is a fantastic spot for sushi. The rolls are always creative and the fish is fresh. Highly recommend.,Positive,5
76,The Italian Table,Italian,The Italian Table has some of the best homemade pasta dishes in the city. The sauces are delicious and full of flavor.,Positive,5
77,The Hummus House,Mediterranean,The Hummus House has the best hummus in town. The pita bread is always warm and the falafel is crispy and delicious.,Positive,4
78,The Curry House,Indian,The Curry House is a great spot for curry dishes. The spice level is just right and the flavors are amazing.,Positive,4
79,La Fiesta,Mexican,La Fiesta has a great atmosphere and amazing food. Highly recommend the fajitas and margaritas.,Positive,5
80,The Grill Room,American,The Grill Room has some of the best steak in the city. The meat is always cooked perfectly and the sides are delicious.,Positive,5
81,Sake House,Japanese,Sake House is a great spot for sushi and Japanese cuisine. The rolls are always creative and the atmosphere is great.,Positive,4
82,The Blue Door,Italian,"I visited The Blue Door on a recommendation from a friend and I was not disappointed! The ambiance was cozy and welcoming, and the staff was friendly and attentive. The pasta dish I had was cooked to perfection and the wine selection was top-notch. Highly recommend this spot for anyone looking for a great Italian meal.",Positive,5
83,La Pizzeria,Italian,"La Pizzeria has the best pizza in town, hands down. The crust is crispy and the toppings are always fresh and flavorful. The garlic knots are a must-try, too! The only downside is that it can get pretty crowded, so be prepared to wait for a table.",Positive,4
84,Sushi Spot,Japanese,"Sushi Spot is my go-to spot for sushi in the area. The sushi rolls are always fresh and creative, and the staff is friendly and accommodating. I highly recommend the dragon roll and the spicy tuna roll.",Positive,5
85,Golden Wok,Chinese,"Golden Wok is a hidden gem in the city. The food is always hot and fresh, and the portions are generous. The sesame chicken and beef with broccoli are my favorites. The staff is friendly and welcoming, and the prices are very reasonable.",Positive,4
86,The Burger Joint,American,"The Burger Joint serves up some of the juiciest, tastiest burgers I've ever had. The buns are always fresh and the toppings are plentiful. The fries are crispy and delicious, too. The only downside is that it can get pretty busy during peak hours, so plan accordingly.",Positive,5
87,Spice Route,Indian,"Spice Route has some of the best Indian food in the city. The chicken tikka masala is a must-try, and the garlic naan is to die for. The staff is knowledgeable about the menu and can make great recommendations. The decor is beautiful and adds to the overall dining experience.",Positive,5
88,The Fish Market,Seafood,"The Fish Market is a great spot for seafood lovers. The fish is always fresh and perfectly cooked, and the sides are always delicious. The staff is knowledgeable about the different types of fish and can make great recommendations. The prices are a bit steep, but worth it for the quality of the food.",Positive,4
89,The Mediterranean Cafe,Mediterranean,"The Mediterranean Cafe has some of the best falafel I've ever had. The hummus is also delicious and creamy, and the pita bread is always warm and fresh. The staff is friendly and welcoming, and the prices are very reasonable. Highly recommend this spot for anyone looking for Mediterranean food.",Positive,5
90,Tokyo Ramen,Japanese,"Tokyo Ramen serves up some of the best ramen in town. The broth is rich and flavorful, and the noodles are perfectly cooked. The staff is friendly and attentive, and the prices are very reasonable. Highly recommend this spot for anyone looking for a great bowl of ramen.",Positive,5
91,The Pasta House,Italian,"The Pasta House has a cozy, rustic atmosphere that sets the stage for a delicious Italian meal. The pasta dishes are all cooked to perfection and the sauces are so delicious.",Positive,5
92,Chez Pierre,French,"Chez Pierre is a must-visit for anyone looking for classic French cuisine. The atmosphere is elegant and romantic, and the food is superb. I highly recommend the beef bourguignon.",Positive,5
93,Saffron,Indian,"Saffron serves up some of the best Indian food I've ever had. The spices are perfectly balanced, and the naan is always fresh and delicious. Make sure to try the chicken tikka masala!",Positive,4
94,The Yellow House,American,The Yellow House has a great atmosphere and the food is fantastic. I had the mac and cheese and it was creamy and delicious. The staff were friendly and attentive. Highly recommended.,Positive,5
95,Koyama,Japanese,Koyama is the best sushi restaurant in town. The fish is always fresh and the rolls are beautifully presented. I especially love the salmon nigiri. Make sure to try the green tea ice cream for dessert.,Positive,5
96,La Bella Italia,Italian,La Bella Italia is a cozy and authentic Italian restaurant. The pasta dishes are amazing and the tiramisu is to die for. The staff are welcoming and make you feel right at home.,Positive,4
97,The Spice Room,Indian,"The Spice Room has a fantastic range of dishes, from the classic curries to more unique and creative options. I highly recommend the butter chicken and the samosas. Great service too.",Positive,4
98,The Rusty Anchor,Seafood,The Rusty Anchor is a great seafood restaurant with a beautiful view of the ocean. The crab cakes are delicious and the lobster tail is perfectly cooked. Prices are reasonable too.,Positive,4
99,Mama's Kitchen,Southern,"Mama's Kitchen is the perfect spot for some good old fashioned southern cooking. The fried chicken is crispy and juicy, and the biscuits are out of this world. Don't forget the sweet tea!",Positive,5
100,Little Italy,Italian,"Little Italy is a charming and cozy Italian restaurant with great food and service. The spaghetti carbonara is a must-try, and the tiramisu is the best I've had outside of Italy.",Positive,5
101,The Green Garden,Vegetarian,The Green Garden has an amazing selection of vegetarian dishes that are full of flavor and satisfying. I especially love the lentil soup and the falafel platter. Highly recommended.,Positive,4
102,The Steakhouse,Steakhouse,"The Steakhouse is the perfect spot for a special occasion. The steaks are cooked to perfection, and the sides are just as delicious. The service is impeccable and the atmosphere is upscale.",Positive,5
103,Thai Garden,Thai,"Thai Garden has some of the most authentic and delicious Thai food around. The pad thai is always a hit, and the green curry is a personal favorite. The staff are friendly and welcoming.",Positive,4
104,The Cheesecake Factory,American,"The Cheesecake Factory never disappoints. The menu has something for everyone, and the portions are huge.",Positive,4
105,Bella Italia,Italian,"I had an incredible experience at Bella Italia. The food was top-notch and the service was impeccable. I would highly recommend the lobster linguine and the tiramisu for dessert. It's a bit pricey, but definitely worth it for a special occasion.",Positive,5
106,La Tasca,Spanish,"La Tasca is a must-visit for any tapas lover. The small plates are perfect for sharing and trying a variety of dishes. The sangria is also delicious and pairs perfectly with the food. The ambiance is cozy and inviting, and the service is always friendly. Don't leave without trying the gambas al ajillo and the tortilla española.",Positive,5
107,The Cheesecake Factory,American,"The Cheesecake Factory never disappoints! The menu is huge, so there's something for everyone. The portions are huge, so be prepared to take some home. I always make sure to save room for dessert - the cheesecake is amazing! The service is always great, and the ambiance is cozy and comfortable. Highly recommend the avocado egg rolls and the chicken madeira.",Positive,5
108,Red Lobster,Seafood,"I had a great experience at Red Lobster. The seafood was fresh and delicious, and the service was friendly and attentive. I recommend the Ultimate Feast for a seafood lover's dream meal. The cheddar bay biscuits are also a must-try. The prices are reasonable for the quality and quantity of food.",Positive,4
109,Olive Garden,Italian,"Olive Garden is a great choice for a casual Italian meal. The breadsticks are always hot and fresh, and the salad is delicious. I recommend the chicken alfredo - it's a classic for a reason. The prices are very reasonable, and the service is always friendly. The ambiance is cozy and inviting.",Positive,4
110,TGI Fridays,American,TGI Fridays is a fun and casual spot for a meal or drinks with friends. The menu is diverse and has something for everyone. I recommend the loaded potato skins and the sizzling chicken and shrimp. The drinks are also great - don't miss the strawberry margarita. The service is always friendly and the ambiance is lively.,Positive,4
111,Ruby Tuesday,American,"Ruby Tuesday is a solid choice for a casual meal. The menu has a good variety of options, and the prices are reasonable. The service is always friendly and attentive. I recommend the crispy chicken mac and cheese and the ribs. The ambiance is cozy and inviting.",Positive,4
112,The Pizzeria,Italian,"The Pizzeria is a great spot for pizza lovers. The crust is thin and crispy, and the sauce has a perfect balance of sweetness and tanginess. The toppings are fresh and flavorful. Highly recommend!",Positive,5
113,The Sushi Place,Japanese,The Sushi Place is a must-visit for sushi lovers. The sushi is fresh and expertly prepared. The service is attentive and friendly. Prices are reasonable. Highly recommend!,Positive,5
114,The Indian Bistro,Indian,The Indian Bistro has amazing food and excellent service. The spices and flavors are spot on. The portions are generous and the prices are reasonable. Highly recommend the butter chicken!,Positive,5
115,The Seafood Shack,Seafood,The Seafood Shack has some of the best seafood in town. The shrimp cocktail is a must-try. The fish tacos are also delicious. The service is friendly and the prices are reasonable. Highly recommend!,Positive,5
116,The Steakhouse,Steakhouse,The Steakhouse is a great spot for a special occasion. The steaks are cooked to perfection and the sides are delicious. The service is attentive and the atmosphere is cozy. Highly recommend!,Positive,4
117,The Vegetarian Spot,Vegetarian,The Vegetarian Spot is a great place for vegetarians and non-vegetarians alike. The food is flavorful and creative. The service is friendly and the prices are reasonable. Highly recommend the veggie burger!,Positive,4
118,The BBQ Joint,Barbecue,The BBQ Joint has some of the best barbecue in town. The ribs are fall-off-the-bone tender and the pulled pork is flavorful. The sides are also delicious. The service is friendly. Highly recommend!,Positive,4
119,The French Cafe,French,"The French Cafe is a charming spot for brunch or a romantic dinner. The croissants are flaky and buttery, and the crepes are delicious. The service is attentive and the atmosphere is cozy. Highly recommend!",Positive,4
120,The Thai Kitchen,Thai,The Thai Kitchen has some of the best Thai food in town. The green curry is a must-try. The service is friendly and the prices are reasonable. Highly recommend!,Positive,4
121,The Greek Taverna,Greek,The Greek Taverna has some of the best Greek food in town. The gyro is a must-try. The service is friendly and the atmosphere is cozy. Highly recommend!,Positive,4
122,The Tapas Bar,Spanish,The Tapas Bar is a great spot for tapas and sangria. The patatas bravas are delicious and the jamon serrano is a must-try. The service is friendly and the atmosphere is lively. Highly recommend!,Positive,4
123,The Pho House,Vietnamese,The Pho House has some of the best pho in town. The broth is flavorful and the noodles are perfectly cooked. The service is friendly and the prices are reasonable. Highly recommend!,Positive,4
124,The Rusty Spoon,American,"I had the most amazing dining experience at The Rusty Spoon. The food was delicious and perfectly cooked. The service was great, and the atmosphere was lovely. Highly recommend!",Positive,5
125,Saffron Indian Food,Indian,I recently tried Saffron Indian Food and was blown away by the flavors! The dishes were all so tasty and had just the right amount of spice. Can't wait to go back again!,Positive,4
126,Bella Italia,Italian,"Bella Italia is a great spot for a date night. The food is authentic and delicious, and the atmosphere is cozy and romantic. Highly recommend the lasagna!",Positive,5
127,Sushi Nami Royale,Japanese,"I went to Sushi Nami Royale for dinner and had a wonderful experience. The sushi was fresh and delicious, and the staff was friendly and attentive. Highly recommend!",Positive,4
128,The Golden Chick,American,"The Golden Chick is a great spot for some classic comfort food. The fried chicken is crispy and juicy, and the sides are all delicious. Highly recommend the mashed potatoes!",Positive,4
129,Cafe Istanbul,Mediterranean,"Cafe Istanbul has some of the best Mediterranean food I've ever had! The falafel is crispy and flavorful, and the hummus is so creamy. Can't wait to come back again!",Positive,5
130,Noodle Bowl,Asian,"Noodle Bowl has a great selection of Asian dishes, and everything I've tried there has been delicious. The pho is especially tasty and perfect for a cold day. Highly recommend!",Positive,4
131,La Petite Creperie,French,"La Petite Creperie is a lovely little spot for a sweet or savory crepe. The crepes are always fresh and perfectly cooked, and the Nutella and banana crepe is a personal favorite!",Positive,5
132,The Cheesecake Shop,Dessert/Bakery,"The Cheesecake Shop has the best cheesecake in town, hands down. The flavors are all so rich and creamy, and the crust is perfect. Highly recommend the raspberry swirl!",Positive,5
133,The Burger Joint,American,"The Burger Joint is a must-visit for any burger lover. The burgers are juicy and flavorful, and the toppings are all so tasty. Highly recommend the bacon cheeseburger!",Positive,4
134,Curry House,Indian,"Curry House has some of the best Indian food I've ever tasted. The naan bread is always so fluffy and delicious, and the curries are full of flavor. Highly recommend the lamb vindaloo!",Positive,5
135,Cafe Latte,Coffee/Tea,"Cafe Latte is a great spot for a cup of coffee and a pastry. The coffee is always fresh and hot, and the pastries are all so tasty. Highly recommend the blueberry scone!",Positive,4
136,Tokyo Ramen,Japanese,Tokyo Ramen is a great spot for a warm and comforting bowl of ramen. The broth is flavorful and the noodles are always perfectly cooked. Highly recommend the miso soup. ,Positive,5
137,The Mediterranean,Mediterranean,"I visited this restaurant last night and had a great experience! The staff was very friendly and accommodating, and the food was delicious. I particularly enjoyed the lamb kebab and the hummus dip. The atmosphere was cozy and inviting, and I felt very comfortable throughout my meal. I would definitely recommend this restaurant to anyone looking for a delicious Mediterranean meal!",Positive,5
138,The Peking Duck,Chinese,"This restaurant was a bit of a disappointment. While the Peking duck was good, the rest of the dishes were quite bland and unimpressive. The service was also lackluster, with our waiter seeming disinterested in our dining experience. The atmosphere was nice, but overall I was not very satisfied with my meal. I may give it another try in the future, but for now, there are other Chinese restaurants in the area that I would rather visit.",Negative,2
139,The Cheesesteak,American,"This restaurant is a must-visit for anyone in the area! The cheesesteaks are absolutely delicious, with juicy steak and gooey cheese. I also tried the onion rings, which were crispy and flavorful. The atmosphere is casual and fun, with friendly staff and plenty of seating. I would highly recommend this restaurant to anyone looking for a classic American meal!",Positive,5
140,The Sushi Bar,Japanese,"I have mixed feelings about this restaurant. On one hand, the sushi was quite good and the presentation was beautiful. On the other hand, the service was slow and unresponsive, and the atmosphere was a bit too dimly lit for my taste. I would recommend this restaurant for the sushi, but be prepared to wait a bit and bring a flashlight if you want to read the menu!",Neutral,3
141,The Burger Joint,American,"This restaurant was a pleasant surprise! The burgers were juicy and flavorful, with plenty of toppings to choose from. I also tried the sweet potato fries, which were crispy and delicious. The service was friendly and attentive, and the atmosphere was casual and inviting. I would definitely recommend this restaurant to anyone looking for a tasty burger and fries!",Positive,4
142,The Italian Kitchen,Italian,"I had a wonderful meal at this restaurant last night! The pasta was perfectly cooked and the sauce was flavorful without being overpowering. I also enjoyed the garlic bread and the tiramisu for dessert. The service was attentive and friendly, and the atmosphere was cozy and romantic. I would highly recommend this restaurant for a date night or a special occasion!",Positive,5
143,The Spice Room,Indian,"The Spice Room is a must-visit restaurant for any lover of Indian cuisine. The service is excellent and the food is consistently amazing. I highly recommend trying the chicken tikka masala and the lamb vindaloo. Both are packed with flavor and perfectly spiced. The naan bread is also exceptional, and pairs perfectly with the curries. Overall, a wonderful dining experience.",Positive,5
144,La Trattoria,Italian,"La Trattoria is a great spot for a romantic dinner or a night out with friends. The atmosphere is cozy and inviting, and the food is fantastic. I highly recommend the spaghetti carbonara and the margherita pizza. The portions are generous and the flavors are spot on. The wine list is also impressive, with a great selection of Italian wines. The service can be a bit slow, but it's worth the wait for the quality of the food.",Positive,4
145,Bao House,Chinese,"Bao House is a hidden gem of a restaurant. The bao buns are incredible, with a variety of delicious fillings to choose from. I highly recommend the pork belly and the crispy chicken. The noodles are also fantastic, with the dan dan noodles being a personal favorite. The service is friendly and attentive, and the prices are very reasonable. If you're a fan of Chinese food, you won't be disappointed with a visit to Bao House.",Positive,5
146,La Cantina,Mexican,"La Cantina is a fun and lively spot for Mexican food. The guacamole is a must-try, and the tacos are fantastic as well. I highly recommend the carne asada and the fish tacos. The margaritas are also excellent, with a great selection of flavors to choose from. The service can be a bit slow when it's busy, but the staff is always friendly and welcoming. Overall, a great spot for a casual night out with friends.",Positive,4
147,The Garden Terrace,International,"The Garden Terrace is a beautiful spot for a special occasion or a romantic dinner. The views are stunning, and the food is equally impressive. I highly recommend the seafood platter and the steak. Both dishes are cooked to perfection and full of flavor. The wine list is extensive, with a great selection of international wines. The service is attentive without being overbearing, and the atmosphere is serene and relaxing. A bit on the pricier side, but worth it for the quality of the experience.",Positive,5
148,Saffron,Indian,"Saffron is a fantastic spot for Indian food. The restaurant is small and cozy, and the service is always friendly and attentive. The food is incredible, with a wide variety of dishes to choose from. I highly recommend the butter chicken and the lamb rogan josh. The naan bread is also exceptional, and pairs perfectly with the curries. The prices are very reasonable for the quality of the food",Positive,5
149,The Spice Room,Indian,"The Spice Room serves the best Indian food in the city! The flavors in the butter chicken were out of this world, and the naan bread was fresh and fluffy. The service was friendly and attentive, making our dining experience even more enjoyable. I highly recommend this restaurant to anyone who loves authentic Indian cuisine!",Positive,5
150,Sushi Sama,Japanese,"Sushi Sama is a hidden gem for sushi lovers! The rolls were fresh and the fish was of excellent quality. The ambiance was cozy and intimate, perfect for a romantic date night. The prices were reasonable for the quality of the food, and the service was top-notch. The restaurant also has a great selection of sake to pair with your meal. I will definitely be returning to Sushi Sama!",Positive,5
151,The Crab Shack,Seafood,"The Crab Shack is a seafood lover's paradise! The crab legs were huge and meaty, and the garlic butter sauce was so flavorful. The service was friendly and attentive, and the outdoor seating area had a great view of the water. The prices were a bit high, but definitely worth it for the quality of the food. I highly recommend this restaurant for anyone looking for a seafood feast!",Positive,4
152,La Cantina,Mexican,"La Cantina is a fantastic Mexican restaurant with a great atmosphere. The chips and salsa were fresh and flavorful, and the margaritas were perfectly mixed. The tacos were authentic and delicious, and the service was prompt and friendly. The prices were reasonable for the quality of the food and drinks. I highly recommend La Cantina for anyone looking for a great Mexican dining experience!",Positive,5
153,The Steakhouse,Steakhouse,"The Steakhouse is the best place to go for a steak in the city! The filet mignon was cooked to perfection, and the garlic mashed potatoes were a great complement to the meal. The service was excellent, and the atmosphere was sophisticated and upscale. The prices were a bit high, but definitely worth it for the quality of the food and service. I highly recommend The Steakhouse for anyone looking for a great steakhouse experience!",Positive,5
